"","V1"
"Cat_Campaign.Documents",4
"Cat_Convention.Speeches",6
"Cat_Correspondents.Association",1
"Cat_Debates",0
"Cat_Determinations",0
"Cat_Elections.and.Transitions",8
"Cat_Eulogies",0
"Cat_Executive.Orders",0
"Cat_Interviews",203
"Cat_Letters",164
"Cat_Memoranda",0
"Cat_Messages",0
"Cat_Miscellaneous",1374
"Cat_Miscellaneous.Remarks",1350
"Cat_Miscellaneous.Written",32
"Cat_News.Conferences",0
"Cat_Oral.Address",109
"Cat_Presidential",1973
"Cat_Press",204
"Cat_Proclamations",0
"Cat_Saturday.Addresses.(Radio.and.Webcast)",61
"Cat_Signing.Statements",0
"Cat_Spoken.Addresses.and.Remarks",197
"Cat_State.Dinners",0
"Cat_State.of.the.Union.Addresses",28
"Cat_Statements",0
"Cat_Weekly.Addresses",61
"Cat_Written.Messages",0
"Cat_Written.Presidential.Orders",0
"Cat_Written.Statements",0
